Model units:
Name: Commander Farsight, Army Type: Tau
Name: Breacher Team, Army Type: Tau
Enemy units:
Name: Commander Farsight, Army Type: Tau
Name: Breacher Team, Army Type: Tau
Number of Lifetimes ran: 400

Iteration 0 ended with reward tensor([-0.5000]), enemy health [8, 9], model health [8, 9.0]
Iteration 1 ended with reward tensor([0.7000]), enemy health [5.0, 9], model health [8, 9.0]
Iteration 2 ended with reward tensor([0.7000]), enemy health [2.0, 9], model health [8, 9.0]
Iteration 3 ended with reward tensor([0.2000]), enemy health [0, 9], model health [8, 9.0]
Iteration 4 ended with reward tensor([0.5000]), enemy health [0, 9], model health [8, 9.0]
Iteration 5 ended with reward tensor([0.2000]), enemy health [0, 8.0], model health [5.0, 9.0]
Iteration 6 ended with reward tensor([0.]), enemy health [0, 8.0], model health [5.0, 9.0]
Iteration 7 ended with reward tensor([-0.5000]), enemy health [0, 7.0], model health [1.0, 9.0]
Iteration 8 ended with reward tensor([-0.5000]), enemy health [0, 7.0], model health [0.0, 9.0]
Iteration 9 ended with reward tensor([-0.5000]), enemy health [0, 7.0], model health [0.0, 8.0]
Iteration 10 ended with reward tensor([0.7000]), enemy health [0, 4.0], model health [0.0, 8.0]
Iteration 11 ended with reward tensor([-0.5000]), enemy health [0, 4.0], model health [0.0, 8.0]
Iteration 12 ended with reward tensor([0.7000]), enemy health [0, 2.0], model health [0.0, 5.0]
Iteration 13 ended with reward tensor([-0.5000]), enemy health [0, 2.0], model health [0.0, 3.0]
Iteration 14 ended with reward tensor([-1.]), enemy health [0, 2.0], model health [0.0, 0]
enemy won!
Iteration 15 ended with reward tensor([0]), enemy health [8, 9], model health [8, 7.0]
Iteration 16 ended with reward tensor([0.]), enemy health [8, 9], model health [6.0, 7.0]
Iteration 17 ended with reward tensor([-0.5000]), enemy health [8, 9], model health [3.0, 7.0]
Iteration 18 ended with reward tensor([0.2000]), enemy health [8, 9.0], model health [0, 7.0]
Iteration 19 ended with reward tensor([-0.5000]), enemy health [8, 9.0], model health [0, 7.0]
Iteration 20 ended with reward tensor([0]), enemy health [8, 9.0], model health [0, 4.0]
Iteration 21 ended with reward tensor([0]), enemy health [8, 9.0], model health [0, 3.0]
Iteration 22 ended with reward tensor([0]), enemy health [8, 9.0], model health [0, 2.0]
Iteration 23 ended with reward tensor([0.7000]), enemy health [7.0, 9.0], model health [0, 2.0]
Iteration 24 ended with reward tensor([0]), enemy health [7.0, 9.0], model health [0, 2.0]
Iteration 25 ended with reward tensor([0.7000]), enemy health [4.0, 9.0], model health [0, 2.0]
Iteration 26 ended with reward tensor([1.]), enemy health [0.0, 9.0], model health [0, 2.0]
Iteration 27 ended with reward tensor([0.7000]), enemy health [0.0, 8.0], model health [0, 2.0]
Iteration 28 ended with reward tensor([-1.]), enemy health [0.0, 8.0], model health [0, 0.0]
enemy won!
Iteration 29 ended with reward tensor([0]), enemy health [8, 9], model health [8, 9]
Iteration 30 ended with reward tensor([-0.5000]), enemy health [8, 9], model health [8, 9]
Iteration 31 ended with reward tensor([-0.5000]), enemy health [8, 9], model health [5.0, 9]
Iteration 32 ended with reward tensor([-0.5000]), enemy health [8, 9], model health [1.0, 9]
Iteration 33 ended with reward tensor([-0.5000]), enemy health [8, 9], model health [0, 9]
Iteration 34 ended with reward tensor([-0.5000]), enemy health [8, 9], model health [0, 6.0]
Iteration 35 ended with reward tensor([0.7000]), enemy health [7.0, 9], model health [0, 6.0]
Iteration 36 ended with reward tensor([-0.5000]), enemy health [7.0, 9], model health [0, 6.0]
Iteration 37 ended with reward tensor([0]), enemy health [7.0, 9], model health [0, 3.0]
Iteration 38 ended with reward tensor([0.7000]), enemy health [7.0, 9], model health [0, 3.0]
Iteration 39 ended with reward tensor([0]), enemy health [7.0, 9], model health [0, 3.0]
Iteration 40 ended with reward tensor([-0.5000]), enemy health [7.0, 9], model health [0, 0.0]
enemy won!
Iteration 41 ended with reward tensor([0.5000]), enemy health [8, 9], model health [8, 9]
Iteration 42 ended with reward tensor([0.]), enemy health [7.0, 9], model health [8, 9]
Iteration 43 ended with reward tensor([0.2000]), enemy health [0.0, 9], model health [8, 7.0]
Iteration 44 ended with reward tensor([-1.]), enemy health [0.0, 9], model health [5.0, 5.0]
Iteration 45 ended with reward tensor([0]), enemy health [0.0, 9], model health [0.0, 3.0]
Iteration 46 ended with reward tensor([-0.5000]), enemy health [0.0, 9], model health [0.0, 0.0]
enemy won!
Iteration 47 ended with reward tensor([0.5000]), enemy health [8, 9], model health [8, 9]
Iteration 48 ended with reward tensor([0]), enemy health [8, 9], model health [8, 9]
Iteration 49 ended with reward tensor([0.2000]), enemy health [8, 9], model health [5.0, 9]
Iteration 50 ended with reward tensor([0.7000]), enemy health [3.0, 9], model health [0.0, 9]
Iteration 51 ended with reward tensor([0.7000]), enemy health [3.0, 9.0], model health [0.0, 9]
Iteration 52 ended with reward tensor([0.7000]), enemy health [3.0, 9.0], model health [0.0, 9]
Iteration 53 ended with reward tensor([0.7000]), enemy health [3.0, 9.0], model health [0.0, 9]
Iteration 54 ended with reward tensor([-0.5000]), enemy health [3.0, 9.0], model health [0.0, 9]
Iteration 55 ended with reward tensor([-0.5000]), enemy health [3.0, 9.0], model health [0.0, 6.0]
Iteration 56 ended with reward tensor([0.7000]), enemy health [2.0, 9.0], model health [0.0, 5.0]
Iteration 57 ended with reward tensor([-0.5000]), enemy health [2.0, 9.0], model health [0.0, 5.0]
Iteration 58 ended with reward tensor([-0.5000]), enemy health [2.0, 9.0], model health [0.0, 5.0]
Iteration 59 ended with reward tensor([-0.5000]), enemy health [2.0, 9.0], model health [0.0, 5.0]
Iteration 60 ended with reward tensor([-0.5000]), enemy health [2.0, 9.0], model health [0.0, 5.0]
Iteration 61 ended with reward tensor([0.7000]), enemy health [2.0, 9.0], model health [0.0, 4.0]
Iteration 62 ended with reward tensor([-0.5000]), enemy health [2.0, 9.0], model health [0.0, 3.0]
Iteration 63 ended with reward tensor([0.7000]), enemy health [2.0, 9.0], model health [0.0, 3.0]
